"STATION","NAME","DATE","TMAX"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-09-12","88"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-09-13","78"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-09-14","79"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-09-15","86"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-09-16","83"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-09-17","83"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-09-18","78"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-09-19","79"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-09-20","79"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-09-21","78"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-09-22","81"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-09-23","85"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-09-24","85"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-09-25","87"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-09-26","85"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","1996-09-27","79"
